Time,Code
0.031,code1
0.031,code1
0,code1
0.671,code1
0.203,code1
1.406,code1
0.046,code1
2.046,code1
18.078,code1
0.61,code1
0,code1
0.047,code1
0.061,code1
0.015,code1
0.031,code1
0.015,code1
0,code1
0.875,code1
0.015,code1
0.172,code1
0.062,code1
0.046,code1
0.109,code1
0.406,code1
6.046,code1
0.015,code1
0,code1
0,code1
0.186,code1
0.031,code1
0.031,code1
0.015,code1
0.062,code1
0,code1
0.031,code1
0.015,code1
0,code1
0,code1
1.235,code1
0.016,code1
0,code1
0,code1
100.015,code1
0.031,code1
0.015,code1
0.89,code1
1.438,code1
1.468,code1
2.077,code1
0,code1
0.156,code1
0.359,code1
0.125,code1
0.078,code1
0.406,code1
0.14,code1
0,code1
0.094,code1
0,code1
0,code1
0.015,code1
0,code1
0,code1
0,code1
0.14,code1
12.984,code1
0,code1
0,code1
0.077,code1
0.031,code1
0.015,code1
0.171,code1
0.109,code1
0.016,code1
0.109,code1
7.797,code1
0.14,code1
0.327,code1
0.108,code1
0.062,code1
0.359,code1
0.015,code1
0,code1
1.109,code1
0.062,code1
0,code1
0.015,code1
0.016,code1
0.015,code1
0.062,code1
0.046,code1
0,code1
0.141,code1
0.063,code1
0,code1
1.952,code1
0,code1
0,code1
0.359,code1
0.062,code1
1.579,code2
0,code2
0.172,code2
6.235,code2
0.046,code2
2.156,code2
0.891,code2
0.561,code2
0.015,code2
29.25,code2
0.047,code2
0,code2
0.015,code2
0.03,code2
0.844,code2
2.187,code2
0,code2
0.046,code2
0,code2
0,code2
0.484,code2
0,code2
0.108,code2
0.172,code2
0.031,code2
0,code2
0,code2
0.046,code2
0,code2
0.921,code2
0,code2
0.312,code2
0.031,code2
0.077,code2
0,code2
0.14,code2
0,code2
0.813,code2
0.015,code2
0,code2
0.016,code2
0.046,code2
6.625,code2
0.078,code2
0.421,code2
0.171,code2
0,code2
0,code2
0.031,code2
0,code2
0.656,code2
7.39,code2
0.046,code2
0,code2
0,code2
0.046,code2
0.125,code2
0,code2
0.078,code2
0.281,code2
2.516,code2
0.078,code2
0.624,code2
0.109,code2
0.109,code2
0.719,code2
1.124,code2
0.031,code2
0,code2
0.093,code2
0,code2
0.265,code2
0,code2
6.046,code2
0,code2
0,code2
0,code2
0,code2
0,code2
0.062,code2
1.546,code2
0.094,code2
25.687,code2
1.625,code2
0,code2
0.062,code2
16.265,code2
0.171,code2
0.015,code2
0,code2
0.015,code2
0,code2
2.016,code2
0.061,code2
0.047,code2
0.874,code2
0.328,code2
0,code2
0.016,code2
18.906,code2
